"owner","name","full_name","url","visibility","archived","disabled","fork","parent","default_branch","created_at","updated_at","pushed_at","size","language","license","topics","branch_count","release_count","tag_count","lfs_detected","dvc_detected","submodule_detected","audit_status"
"Drone-Motors-Unknown-Faults-Detection","Ancestor","Drone-Motors-Unknown-Faults-Detection/Ancestor","https://github.com/Drone-Motors-Unknown-Faults-Detection/Ancestor","private","False","False","False","","main","2025/12/28 上午 08:01:15","2026/8/5 上午 11:37:14","2026/8/5 上午 11:42:27","80478","Jupyter Notebook","","phm","2","0","0","False","False","False","completed"
"Drone-Motors-Unknown-Faults-Detection","GPU-Learning-PyTorch","Drone-Motors-Unknown-Faults-Detection/GPU-Learning-PyTorch","https://github.com/Drone-Motors-Unknown-Faults-Detection/GPU-Learning-PyTorch","public","False","False","False","","main","2026/5/1 下午 03:48:25","2026/9/19 上午 05:45:59","2026/9/19 上午 05:45:55","166142","Python","MIT","","1","0","0","False","False","False","completed"
"Drone-Motors-Unknown-Faults-Detection","GPU-Learning-Tensorflow","Drone-Motors-Unknown-Faults-Detection/GPU-Learning-Tensorflow","https://github.com/Drone-Motors-Unknown-Faults-Detection/GPU-Learning-Tensorflow","public","False","False","False","","main","2026/5/3 上午 02:29:19","2026/6/11 下午 05:28:01","2026/6/11 下午 05:26:57","141","Python","MIT","","1","0","0","False","False","False","completed"
"Drone-Motors-Unknown-Faults-Detection","Lineage","Drone-Motors-Unknown-Faults-Detection/Lineage","https://github.com/Drone-Motors-Unknown-Faults-Detection/Lineage","public","False","False","False","","main","2026/8/5 上午 11:28:00","2026/9/17 下午 02:19:01","2026/9/19 上午 09:12:45","81841","Python","","","3","0","0","False","False","False","completed"
