dataset,motor,rpm,seed,method,mahalanobis_method,knn_neighbors,n_train,n_calibration,n_known_test,n_unknown_test,n_unknown_classes,known_health_mean,known_health_std,known_health_median,known_healthy_fraction,unknown_health_mean,unknown_health_std,unknown_health_median,unknown_critical_fraction,health_gap_known_minus_unknown,health_effect_size,known_score_median,unknown_score_median,open_set_accuracy,auroc,aupr_unknown_positive,unknown_recall,unknown_f1,calibration_healthy_anchor,calibration_critical_anchor,rul_available,status
T1/11000,T1,11000rpm,123,knn,,5,214,71,73,2994,9,0.590676,0.321065,0.647704,0.315068,0.0,0.0,0.0,1.0,0.590676,2.601783,0.855052,18.481646,0.997392,1.0,1.0,1.0,0.998666,0.7762118522994523,1.0,False,completed
T1/6000,T1,6000rpm,123,knn,,5,192,64,64,3038,9,0.692114,0.258239,0.75118,0.40625,0.0,0.0,0.0,1.0,0.692114,3.790275,0.830737,49.491797,0.999355,1.0,1.0,1.0,0.999671,0.7746703136835721,1.0,False,completed
T1/8000,T1,8000rpm,123,knn,,5,187,62,64,2736,9,0.576735,0.325143,0.613512,0.296875,0.0,0.0,0.0,1.0,0.576735,2.50852,0.877148,35.568315,0.996786,1.0,1.0,1.0,0.998358,0.799756961632365,1.0,False,completed
T2/11000,T2,11000rpm,123,knn,,5,151,50,52,3165,9,0.706455,0.273436,0.784504,0.480769,0.0,0.0,0.0,1.0,0.706455,3.653787,0.850047,21.622234,1.0,1.0,1.0,1.0,1.0,0.8088558900435665,1.0,False,completed
T2/6000,T2,6000rpm,123,knn,,5,194,64,66,2865,9,0.665982,0.29297,0.694014,0.393939,0.0,0.0,0.0,1.0,0.665982,3.214798,0.856683,38.900535,0.998976,1.0,1.0,1.0,0.999477,0.7934952694000191,1.0,False,completed
T2/8000,T2,8000rpm,123,knn,,5,220,73,75,2882,9,0.581747,0.292897,0.615074,0.226667,0.0,0.0,0.0,1.0,0.581747,2.808883,0.865532,49.542773,0.998985,1.0,1.0,1.0,0.99948,0.7813795812889849,0.9999999999999999,False,completed
T3/11000,T3,11000rpm,123,knn,,5,180,60,60,2828,9,0.582962,0.298002,0.617375,0.25,0.0,0.0,0.0,1.0,0.582962,2.766536,0.891006,40.062663,0.998961,1.0,1.0,1.0,0.99947,0.8234554933321014,1.0,False,completed
T3/6000,T3,6000rpm,123,knn,,5,188,62,64,2627,9,0.68512,0.235499,0.738545,0.359375,0.0,0.0,0.0,1.0,0.68512,4.114277,0.841328,26.35255,0.999628,1.0,1.0,1.0,0.99981,0.7851565669957795,1.0000000000000002,False,completed
T3/8000,T3,8000rpm,123,knn,,5,163,54,55,2953,9,0.705868,0.268118,0.757099,0.472727,0.0,0.0,0.0,1.0,0.705868,3.723164,0.851974,54.215551,0.999668,1.0,1.0,1.0,0.999831,0.8044825753788836,1.0,False,completed
