dataset,motor,rpm,seed,method,mahalanobis_method,knn_neighbors,n_train,n_calibration,n_known_test,n_unknown_test,n_unknown_classes,known_health_mean,known_health_std,known_health_median,known_healthy_fraction,unknown_health_mean,unknown_health_std,unknown_health_median,unknown_critical_fraction,health_gap_known_minus_unknown,health_effect_size,known_score_median,unknown_score_median,open_set_accuracy,auroc,aupr_unknown_positive,unknown_recall,unknown_f1,calibration_healthy_anchor,calibration_critical_anchor,rul_available,status
T1/11000,T1,11000rpm,42,mahalanobis,ledoit_wolf,,214,71,73,2994,9,0.563601,0.314322,0.573256,0.260274,0.0,0.0,0.0,1.0,0.563601,2.535787,0.857809,55.488773,0.998044,1.0,1.0,1.0,0.998999,0.7519580900429909,1.0,False,completed
T1/6000,T1,6000rpm,42,mahalanobis,ledoit_wolf,,192,64,64,3038,9,0.547047,0.322314,0.566181,0.265625,0.0,0.0,0.0,1.0,0.547047,2.400268,0.860754,70.762655,0.997743,1.0,1.0,1.0,0.998849,0.7540607986890411,0.9999999999999999,False,completed
T1/8000,T1,8000rpm,42,mahalanobis,ledoit_wolf,,187,62,64,2736,9,0.570646,0.31183,0.53195,0.296875,0.0,0.0,0.0,1.0,0.570646,2.587995,0.877709,63.003444,0.998929,1.0,1.0,1.0,0.999452,0.7701073001257844,1.0,False,completed
T2/11000,T2,11000rpm,42,mahalanobis,ledoit_wolf,,151,50,52,3165,9,0.462718,0.331327,0.456075,0.192308,0.0,0.0,0.0,1.0,0.462718,1.975033,0.902664,31.935931,0.998446,1.0,1.0,1.0,0.999211,0.7865786226516644,0.9999999999999999,False,completed
T2/6000,T2,6000rpm,42,mahalanobis,ledoit_wolf,,194,64,66,2865,9,0.623834,0.30112,0.694311,0.333333,0.0,0.0,0.0,1.0,0.623834,2.929843,0.829502,58.225373,0.998976,1.0,1.0,1.0,0.999477,0.7544360319266715,1.0000000000000002,False,completed
T2/8000,T2,8000rpm,42,mahalanobis,ledoit_wolf,,220,73,75,2882,9,0.57689,0.257755,0.568673,0.266667,0.0,0.0,0.0,1.0,0.57689,3.165203,0.827906,83.957102,0.999324,1.0,1.0,1.0,0.999653,0.6973766142696541,0.9999999999999999,False,completed
T3/11000,T3,11000rpm,42,mahalanobis,ledoit_wolf,,180,60,60,2828,9,0.513644,0.312935,0.527414,0.233333,0.0,0.0,0.0,1.0,0.513644,2.321254,0.868567,67.995011,0.997576,1.0,1.0,1.0,0.998764,0.7507974553659176,1.0,False,completed
T3/6000,T3,6000rpm,42,mahalanobis,ledoit_wolf,,188,62,64,2627,9,0.533062,0.297912,0.542878,0.1875,0.0,0.0,0.0,1.0,0.533062,2.530492,0.857029,39.918565,0.997027,1.0,1.0,1.0,0.99848,0.7366416679444505,1.0,False,completed
T3/8000,T3,8000rpm,42,mahalanobis,ledoit_wolf,,163,54,55,2953,9,0.549819,0.280369,0.501775,0.218182,0.0,0.0,0.0,1.0,0.549819,2.773351,0.864713,66.954809,0.999668,1.0,1.0,1.0,0.999831,0.7303828753599778,1.0,False,completed
