dataset,motor,rpm,seed,method,mahalanobis_method,knn_neighbors,n_train,n_calibration,n_known_test,n_unknown_test,n_unknown_classes,known_health_mean,known_health_std,known_health_median,known_healthy_fraction,unknown_health_mean,unknown_health_std,unknown_health_median,unknown_critical_fraction,health_gap_known_minus_unknown,health_effect_size,known_score_median,unknown_score_median,open_set_accuracy,auroc,aupr_unknown_positive,unknown_recall,unknown_f1,calibration_healthy_anchor,calibration_critical_anchor,rul_available,status
T1/11000,T1,11000rpm,42,knn,,5,214,71,73,2994,9,0.580719,0.276413,0.569984,0.287671,0.0,0.0,0.0,1.0,0.580719,2.971136,0.854753,19.660215,0.99837,1.0,1.0,1.0,0.999166,0.7451730793538156,1.0,False,completed
T1/6000,T1,6000rpm,42,knn,,5,192,64,64,3038,9,0.545929,0.338005,0.555448,0.3125,0.0,0.0,0.0,1.0,0.545929,2.284171,0.893174,54.408283,0.996776,1.0,1.0,1.0,0.998357,0.8076753120451488,1.0,False,completed
T1/8000,T1,8000rpm,42,knn,,5,187,62,64,2736,9,0.616324,0.315436,0.63072,0.34375,0.0,0.0,0.0,1.0,0.616324,2.763203,0.87144,37.25689,0.998571,1.0,1.0,1.0,0.99927,0.7961691947248938,1.0,False,completed
T2/11000,T2,11000rpm,42,knn,,5,151,50,52,3165,9,0.51367,0.312781,0.491494,0.211538,0.0,0.0,0.0,1.0,0.51367,2.322517,0.912822,24.183934,0.998757,1.0,1.0,1.0,0.999368,0.8226268729156152,1.0,False,completed
T2/6000,T2,6000rpm,42,knn,,5,194,64,66,2865,9,0.627975,0.288584,0.658237,0.348485,0.0,0.0,0.0,1.0,0.627975,3.077407,0.844397,38.793872,0.999659,1.0,1.0,1.0,0.999826,0.7636063021069438,0.9999999999999999,False,completed
T2/8000,T2,8000rpm,42,knn,,5,220,73,75,2882,9,0.598841,0.232431,0.630704,0.213333,0.0,0.0,0.0,1.0,0.598841,3.643612,0.832768,47.29248,1.0,1.0,1.0,1.0,1.0,0.7348493563951489,1.0,False,completed
T3/11000,T3,11000rpm,42,knn,,5,180,60,60,2828,9,0.454785,0.303425,0.415892,0.133333,0.0,0.0,0.0,1.0,0.454785,2.119678,0.924731,42.266195,0.99723,1.0,1.0,1.0,0.998588,0.8190179586414019,1.0,False,completed
T3/6000,T3,6000rpm,42,knn,,5,188,62,64,2627,9,0.685295,0.270331,0.686119,0.40625,0.0,0.0,0.0,1.0,0.685295,3.58506,0.881708,25.230356,0.999628,1.0,1.0,1.0,0.99981,0.8275931606018191,0.9999999999999999,False,completed
T3/8000,T3,8000rpm,42,knn,,5,163,54,55,2953,9,0.553922,0.31491,0.534868,0.254545,0.0,0.0,0.0,1.0,0.553922,2.487585,0.908062,58.751873,0.999335,1.0,1.0,1.0,0.999661,0.8281105072870496,0.9999999999999999,False,completed
