"absolute_path","relative_path","file_count","total_size_bytes","is_reparse_point","candidate_category"
"D:\schoolshit\fcu\專題\馬達研究",".","154","4937135027","False","other"
"D:\schoolshit\fcu\專題\馬達研究\馬達研究","馬達研究","154","4937135027","False","other"
