"archive_path","entry_path","depth","entry_kind","uncompressed_size_bytes","compressed_size_bytes","last_write_time"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/5screws/T3_Y_data.csv","2","file","58817526","15012129","2025-04-23T10:26:30.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/5screws/T3_Z_data.csv","2","file","57569864","15359347","2025-04-23T10:27:30.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/6screws/","2","directory","0","0","2025-04-17T11:21:08.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/6screws/T3_Current_data.csv","2","file","53331656","6798316","2025-04-23T10:22:48.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/6screws/T3_Delta_T_data.csv","2","file","104714150","1443820","2025-04-23T10:23:54.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/6screws/T3_X_data.csv","2","file","57859945","15138265","2025-04-23T10:19:56.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/6screws/T3_Y_data.csv","2","file","59022155","14967209","2025-04-23T10:20:54.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/6screws/T3_Z_data.csv","2","file","57509998","15296355","2025-04-23T10:21:52.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/7screws/","2","directory","0","0","2025-04-17T11:19:16.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/7screws/T3_Current_data.csv","2","file","53172263","7385433","2025-04-23T10:17:20.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/7screws/T3_Delta_T_data.csv","2","file","104611669","1428988","2025-04-23T10:18:16.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/6000rpm.zip","6000rpm/7screws/T3_X_data.csv","2","file","58042580","15196325","2025-04-23T10:14:34.0000000+08:00"
