epoch,t,truth,score,verdict,predicted,ewma,cusum,quarantine,n_known,source_mode
4,76,8screws,0.8548,healthy,8screws,0.0838,0.0,0,1,manual
4,77,8screws,0.7471,healthy,8screws,0.0771,0.0,0,1,manual
4,78,8screws,0.7888,healthy,8screws,0.0709,0.0,0,1,manual
4,79,8screws,0.8429,healthy,8screws,0.0652,0.0,0,1,manual
4,80,8screws,0.8758,healthy,8screws,0.06,0.0,0,1,manual
4,81,8screws,1.0256,unknown,,0.1352,0.03,0,1,manual
4,82,8screws,0.8387,healthy,8screws,0.1244,0.0,0,1,manual
4,83,8screws,0.9375,healthy,8screws,0.1144,0.0,0,1,manual
4,84,8screws,0.8127,healthy,8screws,0.1053,0.0,0,1,manual
4,85,8screws,0.8762,healthy,8screws,0.0969,0.0,0,1,manual
4,86,8screws,0.8152,healthy,8screws,0.0891,0.0,0,1,manual
4,87,8screws,1.0092,unknown,,0.162,0.01,0,1,manual
4,88,8screws,0.8202,healthy,8screws,0.149,0.0,0,1,manual
4,89,8screws,0.9657,healthy,8screws,0.1371,0.0,0,1,manual
4,90,8screws,0.9013,healthy,8screws,0.1261,0.0,0,1,manual
4,91,8screws,1.0489,unknown,,0.196,0.05,0,1,manual
4,92,8screws,0.847,healthy,8screws,0.1804,0.0,0,1,manual
4,93,8screws,0.7738,healthy,8screws,0.1659,0.0,0,1,manual
4,94,8screws,0.7537,healthy,8screws,0.1527,0.0,0,1,manual
4,95,8screws,0.8409,healthy,8screws,0.1404,0.0,0,1,manual
4,96,8screws,0.8051,healthy,8screws,0.1292,0.0,0,1,manual
4,97,8screws,0.9306,healthy,8screws,0.1189,0.0,0,1,manual
4,98,8screws,0.7903,healthy,8screws,0.1094,0.0,0,1,manual
4,99,8screws,0.9605,healthy,8screws,0.1006,0.0,0,1,manual
4,100,8screws,0.8497,healthy,8screws,0.0926,0.0,0,1,manual
4,101,8screws,0.8478,healthy,8screws,0.0852,0.0,0,1,manual
4,102,8screws,0.8342,healthy,8screws,0.0783,0.0,0,1,manual
4,103,8screws,0.7619,healthy,8screws,0.0721,0.0,0,1,manual
4,104,8screws,0.9752,healthy,8screws,0.0663,0.0,0,1,manual
4,105,8screws,0.8824,healthy,8screws,0.061,0.0,0,1,manual
4,106,8screws,0.988,healthy,8screws,0.0561,0.0,0,1,manual
4,107,8screws,1.0366,unknown,,0.1316,0.04,0,1,manual
4,108,8screws,1.0777,unknown,,0.2011,0.11,0,1,manual
4,109,8screws,0.8607,healthy,8screws,0.185,0.0,0,1,manual
4,110,8screws,0.8636,healthy,8screws,0.1702,0.0,0,1,manual
4,111,8screws,0.7884,healthy,8screws,0.1566,0.0,0,1,manual
4,112,8screws,0.9731,healthy,8screws,0.1441,0.0,0,1,manual
4,113,8screws,1.0265,unknown,,0.2125,0.03,0,1,manual
4,114,8screws,0.7991,healthy,8screws,0.1955,0.0,0,1,manual
4,115,8screws,0.781,healthy,8screws,0.1799,0.0,0,1,manual
4,116,8screws,0.9043,healthy,8screws,0.1655,0.0,0,1,manual
4,117,8screws,0.9288,healthy,8screws,0.1523,0.0,0,1,manual
4,118,8screws,0.8278,healthy,8screws,0.1401,0.0,0,1,manual
4,119,8screws,0.9559,healthy,8screws,0.1289,0.0,0,1,manual
4,120,8screws,0.9545,healthy,8screws,0.1186,0.0,0,1,manual
4,121,8screws,0.9235,healthy,8screws,0.1091,0.0,0,1,manual
4,122,8screws,0.8478,healthy,8screws,0.1004,0.0,0,1,manual
4,123,8screws,0.8583,healthy,8screws,0.0923,0.0,0,1,manual
4,124,8screws,0.8031,healthy,8screws,0.0849,0.0,0,1,manual
4,125,8screws,0.9275,healthy,8screws,0.0781,0.0,0,1,manual
4,126,8screws,0.8538,healthy,8screws,0.0719,0.0,0,1,manual
4,127,8screws,0.6288,healthy,8screws,0.0661,0.0,0,1,manual
4,128,8screws,0.8441,healthy,8screws,0.0609,0.0,0,1,manual
4,129,8screws,0.9013,healthy,8screws,0.056,0.0,0,1,manual
4,130,8screws,0.8758,healthy,8screws,0.0515,0.0,0,1,manual
4,131,8screws,0.9559,healthy,8screws,0.0474,0.0,0,1,manual
4,132,8screws,0.8127,healthy,8screws,0.0436,0.0,0,1,manual
4,133,8screws,0.9545,healthy,8screws,0.0401,0.0,0,1,manual
4,134,8screws,1.0092,unknown,,0.1169,0.01,0,1,manual
4,135,8screws,0.8051,healthy,8screws,0.1075,0.0,0,1,manual
4,136,8screws,0.8538,healthy,8screws,0.0989,0.0,0,1,manual
4,137,8screws,1.0489,unknown,,0.171,0.05,0,1,manual
4,138,8screws,0.9731,healthy,8screws,0.1573,0.02,0,1,manual
4,139,8screws,0.988,healthy,8screws,0.1448,0.01,0,1,manual
4,140,8screws,0.8497,healthy,8screws,0.1332,0.0,0,1,manual
4,141,8screws,0.8152,healthy,8screws,0.1225,0.0,0,1,manual
4,142,8screws,0.8478,healthy,8screws,0.1127,0.0,0,1,manual
4,143,8screws,0.8031,healthy,8screws,0.1037,0.0,0,1,manual
