method,n_condition_seed_rows,known_accuracy_mean,known_accuracy_std,open_set_accuracy_mean,open_set_accuracy_std,auroc_mean,auroc_std,aupr_unknown_positive_mean,aupr_unknown_positive_std,fpr_at_tpr95_mean,fpr_at_tpr95_std,unknown_precision_mean,unknown_precision_std,unknown_recall_mean,unknown_recall_std,unknown_f1_mean,unknown_f1_std
mahalanobis,27,0.946214,0.040142,0.998849,0.000887,1.0,0.0,1.0,0.0,0.0,0.0,0.998825,0.000905,1.0,0.0,0.999412,0.000453
knn,27,0.945683,0.043856,0.998842,0.000937,1.0,0.0,1.0,0.0,0.0,0.0,0.998819,0.000955,1.0,0.0,0.999409,0.000478
