dataset,motor,rpm,seed,method,mahalanobis_method,knn_neighbors,n_train,n_calibration,n_known_test,n_unknown_test,n_unknown_classes,known_health_mean,known_health_std,known_health_median,known_healthy_fraction,unknown_health_mean,unknown_health_std,unknown_health_median,unknown_critical_fraction,health_gap_known_minus_unknown,health_effect_size,known_score_median,unknown_score_median,open_set_accuracy,auroc,aupr_unknown_positive,unknown_recall,unknown_f1,calibration_healthy_anchor,calibration_critical_anchor,rul_available,status
T1/11000,T1,11000rpm,2026,knn,,5,214,71,73,2994,9,0.54514,0.28677,0.580411,0.219178,0.0,0.0,0.0,1.0,0.54514,2.688371,0.869294,19.331726,0.998696,1.0,1.0,1.0,0.999332,0.7748044167877071,1.0,False,completed
T1/6000,T1,6000rpm,2026,knn,,5,192,64,64,3038,9,0.519567,0.335972,0.554724,0.265625,0.0,0.0,0.0,1.0,0.519567,2.187021,0.90235,55.270031,0.997743,1.0,1.0,1.0,0.998849,0.8239657130356762,1.0,False,completed
T1/8000,T1,8000rpm,2026,knn,,5,187,62,64,2736,9,0.527884,0.26099,0.54192,0.1875,0.0,0.0,0.0,1.0,0.527884,2.860416,0.873584,34.70702,0.998929,1.0,1.0,1.0,0.999452,0.7667257589392793,1.0,False,completed
T2/11000,T2,11000rpm,2026,knn,,5,151,50,52,3165,9,0.54001,0.301995,0.6009,0.230769,0.0,0.0,0.0,1.0,0.54001,2.528813,0.881528,23.406871,0.998757,1.0,1.0,1.0,0.999368,0.8028426638795079,0.9999999999999999,False,completed
T2/6000,T2,6000rpm,2026,knn,,5,194,64,66,2865,9,0.659751,0.246245,0.700141,0.348485,0.0,0.0,0.0,1.0,0.659751,3.789036,0.820425,36.114229,0.999318,1.0,1.0,1.0,0.999651,0.7435161931694865,1.0,False,completed
T2/8000,T2,8000rpm,2026,knn,,5,220,73,75,2882,9,0.711035,0.242828,0.763957,0.413333,0.0,0.0,0.0,1.0,0.711035,4.141012,0.792722,45.726656,0.999662,1.0,1.0,1.0,0.999827,0.7286786001553829,1.0,False,completed
T3/11000,T3,11000rpm,2026,knn,,5,180,60,60,2828,9,0.684799,0.239948,0.670308,0.366667,0.0,0.0,0.0,1.0,0.684799,4.036101,0.851568,39.674213,1.0,1.0,1.0,1.0,1.0,0.7785614158863302,0.9999999999999999,False,completed
T3/6000,T3,6000rpm,2026,knn,,5,188,62,64,2627,9,0.539395,0.307956,0.532075,0.265625,0.0,0.0,0.0,1.0,0.539395,2.47704,0.895898,25.849566,0.998885,1.0,1.0,1.0,0.999429,0.8043467096041129,0.9999999999999999,False,completed
T3/8000,T3,8000rpm,2026,knn,,5,163,54,55,2953,9,0.552026,0.291428,0.584556,0.236364,0.0,0.0,0.0,1.0,0.552026,2.678819,0.876787,56.892071,0.99867,1.0,1.0,1.0,0.999323,0.7892197629070751,1.0,False,completed
