dataset,motor,rpm,seed,method,mahalanobis_method,knn_neighbors,n_train,n_calibration,n_known_test,n_unknown_test,n_unknown_classes,known_health_mean,known_health_std,known_health_median,known_healthy_fraction,unknown_health_mean,unknown_health_std,unknown_health_median,unknown_critical_fraction,health_gap_known_minus_unknown,health_effect_size,known_score_median,unknown_score_median,open_set_accuracy,auroc,aupr_unknown_positive,unknown_recall,unknown_f1,calibration_healthy_anchor,calibration_critical_anchor,rul_available,status
T1/11000,T1,11000rpm,2026,mahalanobis,ledoit_wolf,,214,71,73,2994,9,0.533908,0.267649,0.552364,0.205479,0.0,0.0,0.0,1.0,0.533908,2.821079,0.846774,52.680387,0.999022,1.0,1.0,1.0,0.999499,0.7225996416661795,1.0,False,completed
T1/6000,T1,6000rpm,2026,mahalanobis,ledoit_wolf,,192,64,64,3038,9,0.612609,0.291104,0.651058,0.296875,0.0,0.0,0.0,1.0,0.612609,2.976116,0.834147,67.270804,0.999033,1.0,1.0,1.0,0.999506,0.745257112893888,1.0,False,completed
T1/8000,T1,8000rpm,2026,mahalanobis,ledoit_wolf,,187,62,64,2736,9,0.547641,0.269388,0.563622,0.203125,0.0,0.0,0.0,1.0,0.547641,2.87497,0.840616,59.954184,0.999286,1.0,1.0,1.0,0.999635,0.717215383071436,0.9999999999999999,False,completed
T2/11000,T2,11000rpm,2026,mahalanobis,ledoit_wolf,,151,50,52,3165,9,0.524243,0.309101,0.521918,0.269231,0.0,0.0,0.0,1.0,0.524243,2.398541,0.871161,30.204303,0.998757,1.0,1.0,1.0,0.999368,0.7531425710948153,1.0,False,completed
T2/6000,T2,6000rpm,2026,mahalanobis,ledoit_wolf,,194,64,66,2865,9,0.702839,0.227943,0.738154,0.363636,0.0,0.0,0.0,1.0,0.702839,4.360584,0.80239,57.227572,0.999659,1.0,1.0,1.0,0.999826,0.732292113818988,1.0,False,completed
T2/8000,T2,8000rpm,2026,mahalanobis,ledoit_wolf,,220,73,75,2882,9,0.67509,0.234684,0.698047,0.306667,0.0,0.0,0.0,1.0,0.67509,4.068114,0.797205,80.143332,0.999662,1.0,1.0,1.0,0.999827,0.7094822224333117,1.0,False,completed
T3/11000,T3,11000rpm,2026,mahalanobis,ledoit_wolf,,180,60,60,2828,9,0.690069,0.254893,0.701447,0.383333,0.0,0.0,0.0,1.0,0.690069,3.828682,0.824821,65.079739,0.999654,1.0,1.0,1.0,0.999823,0.7502607879372061,1.0,False,completed
T3/6000,T3,6000rpm,2026,mahalanobis,ledoit_wolf,,188,62,64,2627,9,0.568417,0.273018,0.576882,0.25,0.0,0.0,0.0,1.0,0.568417,2.944361,0.833838,40.412273,0.999628,1.0,1.0,1.0,0.99981,0.7119652489790835,1.0,False,completed
T3/8000,T3,8000rpm,2026,mahalanobis,ledoit_wolf,,163,54,55,2953,9,0.563762,0.298019,0.584592,0.272727,0.0,0.0,0.0,1.0,0.563762,2.675266,0.848485,71.524019,0.999335,1.0,1.0,1.0,0.999661,0.7408186050036286,1.0,False,completed
